image_id,manga,page_id,iou,precision,recall,f1,inference_time_seconds
BEMADER_P/005,BEMADER_P,005,0.7791748160566266,0.8460118821893566,0.907941503649239,0.8758833691043292,0.5552213191986084
BEMADER_P/006,BEMADER_P,006,0.714949263027328,0.7936631168793121,0.8781788417589186,0.8337847403896465,0.5581481456756592
BEMADER_P/007,BEMADER_P,007,0.8025050444339501,0.8701992458451655,0.9116302320194102,0.8904330635989592,0.5536363124847412
BEMADER_P/008,BEMADER_P,008,0.7916686663147287,0.8663069308230599,0.9018519784049751,0.8837221760908579,0.5475292205810547
BEMADER_P/009,BEMADER_P,009,0.8162524941048431,0.8653291455675918,0.935032552985178,0.8988315190252671,0.5420103073120117
BakuretsuKungFuGirl/000,BakuretsuKungFuGirl,000,0.6783966990863542,0.8465083095209199,0.7735504750254568,0.8083865983002037,0.5265862941741943
BakuretsuKungFuGirl/001,BakuretsuKungFuGirl,001,0.701537901282985,0.9234499161120228,0.7448545595146036,0.8245927413712207,0.5412440299987793
BakuretsuKungFuGirl/002,BakuretsuKungFuGirl,002,0.7828776691279186,0.8753765480307932,0.8810780460415497,0.8782180434295948,0.5466482639312744
BakuretsuKungFuGirl/003,BakuretsuKungFuGirl,003,0.6827614716825134,0.9325453587292027,0.7182326848925868,0.8114774234756547,0.5476529598236084
BakuretsuKungFuGirl/004,BakuretsuKungFuGirl,004,0.9161493582263711,0.9608390239126711,0.9516848484848485,0.9562400282558126,0.5467629432678223
BakuretsuKungFuGirl/005,BakuretsuKungFuGirl,005,0.7977700043725404,0.8686854258915393,0.9071698488464598,0.8875106408853217,0.5446286201477051
BakuretsuKungFuGirl/006,BakuretsuKungFuGirl,006,0.883628720202551,0.9128235497322772,0.9650692614718389,0.9382196297235608,0.5391921997070312
BakuretsuKungFuGirl/007,BakuretsuKungFuGirl,007,0.8619652657694911,0.9287662355196716,0.9229840332751912,0.9258661067592667,0.5494377613067627
BakuretsuKungFuGirl/008,BakuretsuKungFuGirl,008,0.8823788269315396,0.9198505799855823,0.9558703350585671,0.9375146110944127,0.5717260837554932
BakuretsuKungFuGirl/009,BakuretsuKungFuGirl,009,0.8695377208372435,0.9467780270552434,0.9142250439706576,0.930216824347181,0.5914912223815918
BurariTessenTorimonocho/000,BurariTessenTorimonocho,000,0.7961466234333502,0.841757345306959,0.9362776711260423,0.8865051583723259,0.5872745513916016
BurariTessenTorimonocho/001,BurariTessenTorimonocho,001,0.6625061317926636,0.9717003757294748,0.675540487967543,0.7969969182348698,0.5676639080047607
BurariTessenTorimonocho/002,BurariTessenTorimonocho,002,0.7980043275891592,0.9042209796623922,0.8716863065177098,0.8876556250108224,0.5545003414154053
BurariTessenTorimonocho/003,BurariTessenTorimonocho,003,0.8698566731573403,0.9326123412847804,0.9281967436473875,0.9303993034808884,0.578681468963623
BurariTessenTorimonocho/004,BurariTessenTorimonocho,004,0.8031541293506358,0.8846961373637435,0.8970545348498105,0.8908324765779986,0.5433738231658936
BurariTessenTorimonocho/005,BurariTessenTorimonocho,005,0.8863794082392278,0.934486198869305,0.9451096461724741,0.9397679007391058,0.5460224151611328
