manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
Akuhamu,003,standin,0.004132252693062177,0.0041821103697103745,0.25739855950937746,0.008230494901402798,7219,1718943,20827,0.0
Akuhamu,004,standin,0.0014944348756730137,0.001498940593780986,0.33206933911159264,0.0029844097453392946,2452,1633370,4932,0.0
Akuhamu,005,standin,0.00925589177689908,0.009464221590597859,0.29601568597589994,0.018342011876895024,15550,1627480,36981,0.0
Akuhamu,006,standin,0.0042171256024675936,0.004258499565805887,0.3026772854359061,0.00839883227432032,7145,1670676,16461,0.0
Akuhamu,007,standin,0.009013951652878641,0.00920808841829696,0.2994943135256141,0.017866852362373727,14984,1612281,35047,0.0
Akuhamu,008,standin,0.003991568874722528,0.004031124716596889,0.2891566265060241,0.007951399191920094,7128,1761113,17523,0.0
Akuhamu,009,standin,0.0029212373355681598,0.00294324838121339,0.28089564266390377,0.005825457128276446,4880,1653152,12493,0.0
AosugiruHaru,000,standin,0.009677077953032975,0.010202154869054226,0.1582661439455581,0.01916865929580531,10698,1037904,56897,0.0
AosugiruHaru,001,standin,0.0030853208050928014,0.0031045807759073965,0.33214608774310267,0.006151661760171053,5875,1886490,11813,0.0
AosugiruHaru,002,standin,0.0689004006430704,0.08538996948977737,0.26296922556645247,0.12891828013464798,97200,1041107,272425,0.0
AosugiruHaru,003,standin,0.006321479191732512,0.0063656259348479835,0.4768532169605473,0.012563538237919482,8086,1262174,8871,0.0
AosugiruHaru,004,standin,0.0069102594247198055,0.006973564237340364,0.4322130279618809,0.013725670902723463,11021,1569376,14478,0.0
AosugiruHaru,005,standin,0.0020266646840599103,0.002035235006042104,0.32490895044697055,0.004045131243486261,2944,1443572,6117,0.0
AosugiruHaru,006,standin,0.0013539801265225015,0.0013575909778149483,0.33733719247467436,0.00270429868636748,2331,1714681,4579,0.0
AosugiruHaru,007,standin,0.00013963505549901783,0.00013966885461478323,0.36589147286821705,0.00027923112054502124,236,1689475,409,0.0
AosugiruHaru,008,standin,0.0015850717358343901,0.0015899908320702474,0.3387730061349693,0.003165126519083042,2761,1733727,5389,0.0
AosugiruHaru,009,standin,0.0015935965271532246,0.001595963579327909,0.517948717948718,0.0031821220356814096,2323,1453224,2162,0.0
AppareKappore,000,standin,0.10106806206576838,0.12845641419435636,0.32158675251003144,0.18358186119057812,166781,1131566,351838,0.0
AppareKappore,001,standin,0.0007917492758534773,0.0007932381329268358,0.29668141592920355,0.0015822458097328768,1341,1689198,3179,0.0
AppareKappore,002,standin,0.0020999518106877744,0.002108321532866204,0.3459670608108108,0.0041911025080749375,3277,1551040,6195,0.0
AppareKappore,003,standin,0.0033027755634466266,0.0033309823383020944,0.28059104201939356,0.006583806292356393,5469,1636389,14022,0.0
AppareKappore,004,standin,0.0015878683864004183,0.001596350197131707,0.23008849557522124,0.0031707021151494976,2548,1593593,8526,0.0
AppareKappore,005,standin,0.0033083157636206472,0.0033387627392533173,0.2662081002001951,0.006594813800786011,5186,1548084,14295,0.0
AppareKappore,006,standin,0.004831580987210192,0.004936236314936827,0.18559431216300043,0.009616698118630668,7779,1568118,34135,0.0
AppareKappore,007,standin,0.001166301004187456,0.001168951365652121,0.339673006339673,0.0023298846615545004,2036,1739696,3958,0.0
AppareKappore,008,standin,0.002506752824689678,0.0025211000578720605,0.30579050097592714,0.005000969455071669,4230,1673609,9603,0.0
AppareKappore,009,standin,0.003376759155555666,0.00340196900136354,0.31303597122302157,0.006730790054171785,5439,1593341,11936,0.0
Arisa,000,standin,0.07570476746934628,0.07628991170158926,0.908005653424865,0.14075380115205,107931,1306817,10935,0.0
Arisa,001,standin,0.059790184858953384,0.061081435453830386,0.7387888389537327,0.11283400377389004,91400,1404963,32316,0.0
Arisa,002,standin,0.0015375802167068185,0.0015460118719777239,0.2199248120300752,0.0030704393865562704,2574,1662355,9130,0.0
Arisa,003,standin,0.007868005553582384,0.008035820871897118,0.2736563124677133,0.015613166625446744,12184,1504027,32339,0.0
Arisa,004,standin,0.0014938158243410632,0.0015041382417219653,0.17876106194690267,0.002983175334161173,2424,1609130,11136,0.0
Arisa,005,standin,0.009175672686868766,0.009324800661626654,0.36457273983676236,0.018184490441469116,13981,1485354,24368,0.0
Arisa,006,standin,0.003716290940316792,0.0037833025784597837,0.1734253666954271,0.007405062513900694,5427,1429034,25866,0.0
Arisa,007,standin,0.0032243828365429183,0.003261997367418201,0.21852048491283957,0.0064280392137723245,4939,1509164,17663,0.0
