manga,page_id,image_path,gt_path,prediction_mask,image_height,image_width,threshold,inference_time_sec,iou,precision,recall,f1,tp,fp,fn
UchiNoNyan'sDiary,006,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/006.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/006.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/006.png,1170,1654,0.5,0.3202835680000362,0.5692661120079473,0.6348302937144281,0.8464364844903988,0.725518900398028,45843,26370,8317
UchiNoNyan'sDiary,002,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/002.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/002.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/002.png,1170,1654,0.5,0.32257359400000496,0.6179042664247942,0.6462386569060873,0.9337436640115858,0.7638329155163478,36106,19765,2562
UchiNoNyan'sDiary,001,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/001.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/001.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/001.png,1170,1654,0.5,0.32230968199996823,0.41179266582693635,0.41923542221146864,0.9586699125816089,0.5833613898054003,17327,24003,747
UchiNoNyan'sDiary,008,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/008.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/008.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/008.png,1170,1654,0.5,0.32010595199994896,0.5713517921346232,0.6185718011998635,0.8821391782076228,0.7272105393515514,30829,19010,4119
UchiNoNyan'sDiary,007,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/007.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/007.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/007.png,1170,1654,0.5,0.3205274089999648,0.346527799628709,0.3751021798365123,0.8197856185797231,0.5146983221947001,11013,18347,2421
HaruichibanNoFukukoro,000,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/000.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/000.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/000.png,1170,1654,0.5,0.31885796599999594,0.8755976255414728,0.9194999494558075,0.9482902418682235,0.9336732075342583,163728,14334,8928
HaruichibanNoFukukoro,005,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/005.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/005.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/005.png,1170,1654,0.5,0.32151302700003725,0.5955332160085082,0.6657466774234639,0.8495493705636932,0.7465005554673861,47037,23616,8330
HaruichibanNoFukukoro,003,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/003.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/003.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/003.png,1170,1654,0.5,0.3212172800000417,0.43226153907527826,0.5107591505809705,0.7377110566448801,0.6036069911566047,21671,20758,7705
HaruichibanNoFukukoro,009,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/009.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/009.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/009.png,1170,1654,0.5,0.31989512799998465,0.40101847411568586,0.42957961814601453,0.8577848333129808,0.5724670752379711,35122,46637,5823
HaruichibanNoFukukoro,004,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/004.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/004.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/004.png,1170,1654,0.5,0.3228759579999405,0.5919804189763156,0.6782020618556701,0.8232090657910544,0.7437031409682467,41116,19509,8830
HaruichibanNoFukukoro,006,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/006.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/006.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/006.png,1170,1654,0.5,0.3226345029999038,0.3693666433420958,0.39299368183830335,0.8600176133861734,0.5394707767097559,19531,30167,3179
HaruichibanNoFukukoro,002,/content/data/raw/Manga109s_released_2026_05_21/images/HaruichibanNoFukukoro/002.jpg,/content/data/groundtruth/post-processed/HaruichibanNoFukukoro/002.png,/content/benchmark_unetpp/masks/HaruichibanNoFukukoro/002.png,1170,1654,0.5,0.3225794079999105,0.4201517336510126,0.45543982464785143,0.8443002488424103,0.591699779249448,26804,32049,4943
